"""sky130_fd_sc_hd__a2bb2o_2""","""X""",0.300303
"""sky130_fd_sc_hd__a2bb2o_4""","""X""",0.502634
"""sky130_fd_sc_hd__a2bb2oi_1""","""Y""",0.06959
"""sky130_fd_sc_hd__a2bb2oi_2""","""Y""",0.130015
"""sky130_fd_sc_hd__a2bb2oi_4""","""Y""",0.226145
"""sky130_fd_sc_hd__a311o_1""","""X""",0.142832
"""sky130_fd_sc_hd__a311o_2""","""X""",0.298472
"""sky130_fd_sc_hd__a311o_4""","""X""",0.453196
"""sky130_fd_sc_hd__a311oi_1""","""Y""",0.043955
"""sky130_fd_sc_hd__a311oi_2""","""Y""",0.084238
"""sky130_fd_sc_hd__a311oi_4""","""Y""",0.133677
"""sky130_fd_sc_hd__a31o_1""","""X""",0.160227
"""sky130_fd_sc_hd__a31o_2""","""X""",0.271922
"""sky130_fd_sc_hd__a31o_4""","""X""",0.498972
"""sky130_fd_sc_hd__a31oi_1""","""Y""",0.065928
"""sky130_fd_sc_hd__a31oi_2""","""Y""",0.118113
"""sky130_fd_sc_hd__a31oi_4""","""Y""",0.211497
"""sky130_fd_sc_hd__a32o_1""","""X""",0.151072
"""sky130_fd_sc_hd__a32o_2""","""X""",0.264597
"""sky130_fd_sc_hd__a32o_4""","""X""",0.536509
"""sky130_fd_sc_hd__a32oi_1""","""Y""",0.085154
"""sky130_fd_sc_hd__a32oi_2""","""Y""",0.15565
"""sky130_fd_sc_hd__a32oi_4""","""Y""",0.25178
"""sky130_fd_sc_hd__a41o_1""","""X""",0.16572
"""sky130_fd_sc_hd__a41o_2""","""X""",0.325022
"""sky130_fd_sc_hd__a41o_4""","""X""",0.560313
"""sky130_fd_sc_hd__a41oi_1""","""Y""",0.065928
"""sky130_fd_sc_hd__a41oi_2""","""Y""",0.124522
"""sky130_fd_sc_hd__a41oi_4""","""Y""",0.194102
"""sky130_fd_sc_hd__and2_0""","""X""",0.108958
"""sky130_fd_sc_hd__and2_1""","""X""",0.158396
"""sky130_fd_sc_hd__and2_2""","""X""",0.303049
"""sky130_fd_sc_hd__and2_4""","""X""",0.539255
"""sky130_fd_sc_hd__and2b_1""","""X""",0.169383
"""sky130_fd_sc_hd__and2b_2""","""X""",0.310374
"""sky130_fd_sc_hd__and2b_4""","""X""",0.46876
"""sky130_fd_sc_hd__and3_1""","""X""",0.157481
"""sky130_fd_sc_hd__and3_2""","""X""",0.309458
"""sky130_fd_sc_hd__and3_4""","""X""",0.532847
"""sky130_fd_sc_hd__and3b_1""","""X""",0.157481
"""sky130_fd_sc_hd__and3b_2""","""X""",0.309458
"""sky130_fd_sc_hd__and3b_4""","""X""",0.46052
"""sky130_fd_sc_hd__and4_1""","""X""",0.161143
"""sky130_fd_sc_hd__and4_2""","""X""",0.300303
"""sky130_fd_sc_hd__and4_4""","""X""",0.531931
"""sky130_fd_sc_hd__and4b_1""","""X""",0.15565
"""sky130_fd_sc_hd__and4b_2""","""X""",0.297556
"""sky130_fd_sc_hd__and4b_4""","""X""",0.463267
"""sky130_fd_sc_hd__and4bb_1""","""X""",0.156565
"""sky130_fd_sc_hd__and4bb_2""","""X""",0.27009
"""sky130_fd_sc_hd__and4bb_4""","""X""",0.461436
"""sky130_fd_sc_hd__buf_1""","""X""",0.130015
"""sky130_fd_sc_hd__buf_12""","""X""",5.0
"""sky130_fd_sc_hd__buf_16""","""X""",5.0
"""sky130_fd_sc_hd__buf_2""","""X""",0.315867
"""sky130_fd_sc_hd__buf_4""","""X""",0.561228
"""sky130_fd_sc_hd__buf_6""","""X""",0.785532
"""sky130_fd_sc_hd__buf_8""","""X""",5.0
"""sky130_fd_sc_hd__bufbuf_16""","""X""",1.49415
"""sky130_fd_sc_hd__bufbuf_8""","""X""",0.941172
"""sky130_fd_sc_hd__bufinv_16""","""Y""",1.509714
"""sky130_fd_sc_hd__bufinv_8""","""Y""",0.942087
"""sky130_fd_sc_hd__clkbuf_1""","""X""",0.130015
"""sky130_fd_sc_hd__clkbuf_16""","""X""",1.531687
"""sky130_fd_sc_hd__clkbuf_2""","""X""",0.281077
"""sky130_fd_sc_hd__clkbuf_4""","""X""",0.517283
"""sky130_fd_sc_hd__clkbuf_8""","""X""",0.909128
"""sky130_fd_sc_hd__clkdlybuf4s15_1""","""X""",0.160227
"""sky130_fd_sc_hd__clkdlybuf4s15_2""","""X""",0.280161
"""sky130_fd_sc_hd__clkdlybuf4s18_1""","""X""",0.160227
"""sky130_fd_sc_hd__clkdlybuf4s18_2""","""X""",0.297556
"""sky130_fd_sc_hd__clkdlybuf4s25_1""","""X""",0.151987
"""sky130_fd_sc_hd__clkdlybuf4s25_2""","""X""",0.298472
"""sky130_fd_sc_hd__clkdlybuf4s50_1""","""X""",0.156565
"""sky130_fd_sc_hd__clkdlybuf4s50_2""","""X""",0.292979
"""sky130_fd_sc_hd__clkinv_1""","""Y""",0.19044
"""sky130_fd_sc_hd__clkinv_16""","""Y""",2.348337
"""sky130_fd_sc_hd__clkinv_2""","""Y""",0.395518
"""sky130_fd_sc_hd__clkinv_4""","""Y""",0.782786
"""sky130_fd_sc_hd__clkinv_8""","""Y""",1.38154
"""sky130_fd_sc_hd__clkinvlp_2""","""Y""",0.154734
"""sky130_fd_sc_hd__clkinvlp_4""","""Y""",0.32136
"""sky130_fd_sc_hd__conb_1""","""HI""",1.9038
"""sky130_fd_sc_hd__conb_1""","""LO""",2.0468
"""sky130_fd_sc_hd__dfbbn_1""","""Q""",0.168467
"""sky130_fd_sc_hd__dfbbn_1""","""Q_N""",0.153819
"""sky130_fd_sc_hd__dfbbn_2""","""Q""",0.31312
"""sky130_fd_sc_hd__dfbbn_2""","""Q_N""",0.288401
"""sky130_fd_sc_hd__dfbbp_1""","""Q""",0.168467
"""sky130_fd_sc_hd__dfbbp_1""","""Q_N""",0.153819
"""sky130_fd_sc_hd__dfrbp_1""","""Q""",0.16572
"""sky130_fd_sc_hd__dfrbp_1""","""Q_N""",0.171214
"""sky130_fd_sc_hd__dfrbp_2""","""Q""",0.253611
"""sky130_fd_sc_hd__dfrbp_2""","""Q_N""",0.287486
"""sky130_fd_sc_hd__dfrtn_1""","""Q""",0.174876
"""sky130_fd_sc_hd__dfrtp_1""","""Q""",0.174876
"""sky130_fd_sc_hd__dfrtp_2""","""Q""",0.322276
"""sky130_fd_sc_hd__dfrtp_4""","""Q""",0.551157
