   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.61e-07   2.40e-08   8.44e-12   6.86e-07 _14244_
   6.61e-07   2.50e-08   8.44e-12   6.85e-07 _14282_
   6.61e-07   2.46e-08   8.44e-12   6.85e-07 _13603_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14721_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14747_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14853_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14857_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14875_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13566_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13570_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13572_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13574_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13578_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13583_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13597_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13621_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13626_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13630_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13494_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13496_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13536_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14735_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14739_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14743_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14909_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14785_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14813_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14849_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14851_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14861_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _14881_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13607_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13472_
   6.61e-07   2.39e-08   8.44e-12   6.85e-07 _13500_
   6.61e-07   2.37e-08   8.44e-12   6.85e-07 _14267_
   6.61e-07   2.37e-08   8.44e-12   6.85e-07 _14970_
   6.61e-07   2.37e-08   8.44e-12   6.85e-07 _13339_
   6.61e-07   2.37e-08   8.44e-12   6.85e-07 _13404_
   6.61e-07   2.37e-08   8.44e-12   6.85e-07 _13466_
   6.61e-07   2.42e-08   8.44e-12   6.85e-07 _14297_
   6.62e-07   2.33e-08   8.44e-12   6.85e-07 _13470_
   6.61e-07   2.33e-08   8.44e-12   6.85e-07 _14271_
   6.61e-07   2.33e-08   8.44e-12   6.85e-07 _13568_
   6.61e-07   2.33e-08   8.44e-12   6.85e-07 _13602_
   6.61e-07   2.33e-08   8.44e-12   6.85e-07 _13638_
   6.61e-07   2.33e-08   8.44e-12   6.85e-07 _14751_
   6.61e-07   2.33e-08   8.44e-12   6.85e-07 _14911_
   6.61e-07   2.33e-08   8.44e-12   6.85e-07 _14879_
   6.62e-07   2.30e-08   8.44e-12   6.85e-07 _13406_
   6.62e-07   2.30e-08   8.44e-12   6.85e-07 _13502_
   6.61e-07   2.30e-08   8.44e-12   6.84e-07 _13341_
   6.61e-07   2.30e-08   8.44e-12   6.84e-07 _14815_
   6.61e-07   2.33e-08   8.44e-12   6.84e-07 _13710_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14729_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14902_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14907_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14859_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14870_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14886_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14891_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13539_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13542_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13546_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13547_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13550_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13551_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13558_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13563_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13576_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13581_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13585_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13589_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13592_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13593_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13614_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13615_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13619_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13473_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13474_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13479_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13480_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13483_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13484_
