   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.94e-07   5.23e-08   8.44e-12   7.46e-07 _15550_
   6.94e-07   5.23e-08   8.44e-12   7.46e-07 _15486_
   6.94e-07   5.23e-08   8.44e-12   7.46e-07 _15422_
   6.97e-07   4.97e-08   8.44e-12   7.46e-07 _15746_
   6.97e-07   4.97e-08   8.44e-12   7.46e-07 _15618_
   6.94e-07   5.23e-08   8.44e-12   7.46e-07 _15358_
   6.96e-07   4.97e-08   8.44e-12   7.46e-07 _15810_
   6.94e-07   5.23e-08   8.44e-12   7.46e-07 _15512_
   6.96e-07   5.05e-08   8.44e-12   7.46e-07 _15616_
   6.96e-07   4.97e-08   8.44e-12   7.46e-07 _15682_
   6.96e-07   5.05e-08   8.44e-12   7.46e-07 _15744_
   6.96e-07   5.05e-08   8.44e-12   7.46e-07 _15816_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15808_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15680_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15688_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15628_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15756_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15824_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15755_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15820_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15692_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15752_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15624_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15696_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15760_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15823_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15632_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15687_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15695_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15623_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15631_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15828_
   6.72e-07   7.40e-08   8.44e-12   7.46e-07 _16643_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15764_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15700_
   6.95e-07   5.05e-08   8.44e-12   7.46e-07 _15636_
   6.82e-07   6.32e-08   8.44e-12   7.46e-07 _15937_
   6.94e-07   5.16e-08   8.44e-12   7.45e-07 _15452_
   6.95e-07   5.05e-08   8.44e-12   7.45e-07 _15807_
   6.94e-07   5.16e-08   8.44e-12   7.45e-07 _15516_
   6.94e-07   5.16e-08   8.44e-12   7.45e-07 _15388_
   6.94e-07   5.16e-08   8.44e-12   7.45e-07 _15580_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15818_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15626_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15690_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15754_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15634_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15762_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15826_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15758_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15698_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15766_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15630_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15814_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15750_
   6.96e-07   4.91e-08   8.44e-12   7.45e-07 _15435_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15622_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15822_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15694_
   6.95e-07   4.97e-08   8.44e-12   7.45e-07 _15686_
   6.96e-07   4.91e-08   8.44e-12   7.45e-07 _15499_
   6.96e-07   4.91e-08   8.44e-12   7.45e-07 _15563_
   6.95e-07   4.91e-08   8.44e-12   7.45e-07 _15371_
