module,all cells leakage before at 0.1,all cells power before at 0.1,ff leakage before at 0.1,ff power before at 0.1,ff leakage before at 1.0,ff power before at 1.0,total power before,all cells leakage after at 0.1,all cells power after at 0.1,ff leakage after at 0.1,ff power after at 0.1,ff leakage after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
NfiVe32_RF,1.76e-08,0.005,8.6425600000000000415e-09,0.004484330000000000012,8.6425600000000000415e-09,0.0073273100000000000418,0.00784298000000000003,1.4e-08,0.00553,8.6425600000000000415e-09,0.0043165202700800000146,8.6425600000000000415e-09,0.0041775702700799999693,0.005391049999999999955,0.0024519300000000000752,31.262734317823073191 %
picorv32a,4.26e-08,0.0039,1.36052800000000002694e-08,0.0030188499999999999726,1.36052800000000002694e-08,0.0055681999999999999337,0.0064493499999999999613,3.91e-08,0.00435,1.3664360000000000272e-08,0.002956809999999999961,1.3664360000000000272e-08,0.0034104821988882025733,0.0048036721988882026124,0.0016456778011117973488,25.516955989546192388 %
PPU,4.42e-08,0.0398,2.4011800000000000747e-08,0.03559889999999999969,2.4011800000000000747e-08,0.058368599999999999816,0.06256970000000000012,3.61e-08,0.0494,2.4011800000000000747e-08,0.035479300000000000307,2.4011800000000000747e-08,0.034312500000000000697,0.04823320000000000039,0.014336499999999999733,22.912847592364994086 %
prv32_cpu,8.73e-09,0.000669,1.8186400000000000027e-09,0.0004744300000000000009,1.8186400000000000027e-09,0.00083412999999999999966,0.0010286999999999999988,7.62e-09,0.00074,1.8186400000000000028e-09,0.00047071999999999999953,1.8186400000000000028e-09,0.00045894672985781990478,0.0007282267298578199053,0.00030047327014218009346,29.209027913111703493 %
rf_64x64,7e-08,0.02,3.457024000000000032e-08,0.01794337000000000088,3.457024000000000032e-08,0.029349999999999999336,0.031406629999999998458,5.41e-08,0.0218,3.457024000000000032e-08,0.017557680540160000054,3.457024000000000032e-08,0.016989060540160000626,0.021231380000000000572,0.0101752499999999978865,32.398413965458880453 %
sha512,7.67e-08,0.00505,3.2096070000000000853e-08,0.0040816100000000000397,3.2096070000000000853e-08,0.006733530000000000111,0.0077019200000000000715,6.68e-08,0.00547,3.2096070000000000853e-08,0.0040437499999999999134,3.2096070000000000853e-08,0.0039193864116526001123,0.0053456364116526001987,0.0023562835883473998728,30.593457064568313496 %
spi_master,8.06e-10,0.000128,4.6151999999999999987e-10,0.000116459999999999999995,4.6151999999999999987e-10,0.00018033000000000000001,0.00019187000000000000002,7.68e-10,0.000157,4.6151999999999999987e-10,0.000115649999999999999955,4.6151999999999999987e-10,0.00012394773584905660381,0.00016529773584905660386,2.6572264150943396165e-05,13.849097905323081337 %
y_dct,2.71e-07,0.022,4.5061159999999998795e-08,0.012176230000000000128,4.5061159999999998795e-08,0.023973469999999999871,0.033797239999999999742,2.68e-07,0.023,4.5255279999999998766e-08,0.012112010000000000235,4.5255279999999998766e-08,0.0124389204438642301384,0.023326910443864229903,0.010470329556135769839,30.979836093526482986 %
y_huff,3.77e-08,0.00861,1.9842440000000000556e-08,0.0073886500000000001825,1.9842440000000000556e-08,0.012391759999999999929,0.013613109999999999745,3.63e-08,0.0108,1.9985920000000000562e-08,0.0073568500000000001177,1.9985920000000000562e-08,0.0071650394003378379737,0.010608189400337837856,0.0030049205996621618896,22.073725986656700385 %
y_quantizer,4.53e-08,0.142,2.3800800000000000738e-08,0.12432619999999999796,2.3800800000000000738e-08,0.20957440000000000182,0.22724820000000000386,3.12e-08,0.156,2.3800800000000000738e-08,0.121384199999999996665,2.3800800000000000738e-08,0.11813182312056737429,0.15274762312056737763,0.07450057687943262623,32.783791853767213543 %
zigzag,1.25e-08,0.0503,6.4903599999999999887e-09,0.042633000000000000174,6.4903599999999999887e-09,0.073765200000000000156,0.08143219999999999998,9.96e-09,0.0556,6.4903599999999999887e-09,0.04197839999999999996,6.4903599999999999887e-09,0.040559799999999999878,0.05418139999999999992,0.027250800000000000062,33.464403516053846107 %
