module,all cells switching before at 0.1,all cells power before at 0.1,ff switching before at 0.1,ff power before at 0.1,ff switching before at 1.0,ff power before at 1.0,total power before,all cells switching after at 0.1,all cells power after at 0.1,ff switching after at 0.1,ff power after at 0.1,ff switching after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
NfiVe32_RF,0.000163,0.005,9.178099999999999998e-05,0.004484330000000000012,0.00091780999999999999596,0.0073273100000000000418,0.00784298000000000003,0.000708,0.00553,6.046010002043399977e-05,0.0043165202700800000146,3.0239100010211999872e-05,0.0041775702700799999693,0.005391049999999999955,0.0024519300000000000752,31.262734317823073191 %
picorv32a,0.000584,0.0039,0.0001365179000000000006,0.0030188499999999999726,0.0013651789999999999949,0.0055681999999999999337,0.0064493499999999999613,0.000815,0.00435,0.000116356279999999999063,0.002956809999999999961,0.00031420761578752316497,0.0034104821988882025733,0.0048036721988882026124,0.0016456778011117973488,25.516955989546192388 %
PPU,0.00242,0.0398,0.00075325000000000000684,0.03559889999999999969,0.0075324999999999999902,0.058368599999999999816,0.06256970000000000012,0.00632,0.0494,0.00048831410000000000384,0.035479300000000000307,0.00024418530000000000473,0.034312500000000000697,0.04823320000000000039,0.014336499999999999733,22.912847592364994086 %
prv32_cpu,0.000101,0.000669,1.9398400000000000003e-05,0.0004744300000000000009,0.00019398400000000000009,0.00083412999999999999966,0.0010286999999999999988,0.00015,0.00074,1.5477499999999999997e-05,0.00047071999999999999953,1.0532092559241706144e-05,0.00045894672985781990478,0.0007282267298578199053,0.00030047327014218009346,29.209027913111703493 %
rf_64x64,0.000667,0.02,0.00037104450000000000627,0.01794337000000000088,0.0037104449999999998808,0.029349999999999999336,0.031406629999999998458,0.00291,0.0218,0.00025742070004279799896,0.017557680540160000054,0.00012874660002139700142,0.016989060540160000626,0.021231380000000000572,0.0101752499999999978865,32.398413965458880453 %
sha512,0.000469,0.00505,0.00014401990000000000025,0.0040816100000000000397,0.0014401990000000000101,0.006733530000000000111,0.0077019200000000000715,0.000943,0.00547,0.00011151300999999999845,0.0040437499999999999134,5.6910247492512932004e-05,0.0039193864116526001123,0.0053456364116526001987,0.0023562835883473998728,30.593457064568313496 %
spi_master,7.46e-06,0.000128,2.4654999999999999988e-06,0.000116459999999999999995,2.4654999999999999986e-05,0.00018033000000000000001,0.00019187000000000000002,1.79e-05,0.000157,1.8177999999999999999e-06,0.000115649999999999999955,4.1671883018867924506e-06,0.00012394773584905660381,0.00016529773584905660386,2.6572264150943396165e-05,13.849097905323081337 %
y_dct,0.00524,0.022,0.0007010541000000000123,0.012176230000000000128,0.0070105410000000000356,0.023973469999999999871,0.033797239999999999742,0.00644,0.023,0.00061136530000000002335,0.012112010000000000235,0.00077574605900783290425,0.0124389204438642301384,0.023326910443864229903,0.010470329556135769839,30.979836093526482986 %
y_huff,0.000534,0.00861,0.00018496820000000000139,0.0073886500000000001825,0.0018496819999999999905,0.012391759999999999929,0.013613109999999999745,0.00129,0.0108,0.00010486910000000000122,0.0073568500000000001177,6.208456668074324325e-05,0.0071650394003378379737,0.010608189400337837856,0.0030049205996621618896,22.073725986656700385 %
y_quantizer,0.00529,0.142,0.0033483919999999999743,0.12432619999999999796,0.033483920000000000228,0.20957440000000000182,0.22724820000000000386,0.0182,0.156,0.0005862719999999999857,0.121384199999999996665,0.00030106607659574467385,0.11813182312056737429,0.15274762312056737763,0.07450057687943262623,32.783791853767213543 %
zigzag,0.00276,0.0503,0.0013543719999999999946,0.042633000000000000174,0.013543719999999999891,0.073765200000000000156,0.08143219999999999998,0.00689,0.0556,0.00078545599999999998566,0.04197839999999999996,0.00039322799999999999283,0.040559799999999999878,0.05418139999999999992,0.027250800000000000062,33.464403516053846107 %
