module,all cells leakage before at 0.1,all cells power before at 0.1,ff leakage before at 0.1,ff power before at 0.1,ff leakage before at 1.0,ff power before at 1.0,total power before,all cells leakage after at 0.1,all cells power after at 0.1,ff leakage after at 0.1,ff power after at 0.1,ff leakage after at 0.05,ff power after at 0.05,total power after,total power difference,percentage reduction
NfiVe32_RF,1.76e-08,0.005,8.6425600000000000415e-09,0.004484330000000000012,8.6425600000000000415e-09,0.0073273100000000000418,0.00784298000000000003,1.4e-08,0.00553,8.6425600000000000415e-09,0.0043165202700800000146,8.6425600000000000415e-09,0.0041775702700799999693,0.0054536199999999999555,0.0023893600000000000746,30.464950822263987226 %
picorv32a,4.26e-08,0.0039,1.36052800000000002694e-08,0.0030188499999999999726,1.36052800000000002694e-08,0.0055681999999999999337,0.0064493499999999999613,3.91e-08,0.00421,1.3655920000000000272e-08,0.0029596239999999999606,1.3655920000000000272e-08,0.0037898744409765141815,0.005101480440976514221,0.0013478695590234857404,20.89930859735455121 %
PPU,4.42e-08,0.0398,2.4011800000000000747e-08,0.03559889999999999969,2.4011800000000000747e-08,0.058368599999999999816,0.06256970000000000012,3.61e-08,0.0493,2.4011800000000000747e-08,0.03548090000000000031,2.4011800000000000747e-08,0.0344786009841827775,0.050082900984182777172,0.01248679901581722295,19.956622799561485713 %
prv32_cpu,8.73e-09,0.000669,1.8186400000000000027e-09,0.0004744300000000000009,1.8186400000000000027e-09,0.00083412999999999999966,0.0010286999999999999988,7.62e-09,0.00074,1.8186400000000000028e-09,0.00047071999999999999953,1.8186400000000000028e-09,0.00045894672985781990478,0.0007360167298578199053,0.00029268327014218009346,28.451761460307192943 %
rf_64x64,7e-08,0.02,3.457024000000000032e-08,0.01794337000000000088,3.457024000000000032e-08,0.029349999999999999336,0.031406629999999998458,5.31e-08,0.0218,3.457024000000000032e-08,0.017547870540159999866,3.457024000000000032e-08,0.016983010540160000662,0.021351440000000000796,0.010055189999999997662,32.01613799379302445 %
sha512,7.67e-08,0.00505,3.2096070000000000853e-08,0.0040816100000000000397,3.2096070000000000853e-08,0.006733530000000000111,0.0077019200000000000715,6.68e-08,0.00547,3.2096070000000000853e-08,0.0040437499999999999134,3.2096070000000000853e-08,0.0039193864116526001123,0.005374816411652600198,0.0023271035883473998735,30.214590496232106433 %
spi_master,8.06e-10,0.000128,4.6151999999999999987e-10,0.000116459999999999999995,4.6151999999999999987e-10,0.00018033000000000000001,0.00019187000000000000002,7.68e-10,0.000157,4.6151999999999999987e-10,0.000115649999999999999955,4.6151999999999999987e-10,0.00012394773584905660381,0.00017145773584905660385,2.0412264150943396168e-05,10.638590791131180573 %
y_dct,2.71e-07,0.022,4.5061159999999998795e-08,0.012176230000000000128,4.5061159999999998795e-08,0.023973469999999999871,0.033797239999999999742,2.71e-07,0.022,4.5061159999999998795e-08,0.012176230000000000128,4.5061159999999998795e-08,0.023973469999999999871,0.033797239999999999742,0.0,0.0 %
y_huff,3.77e-08,0.00861,1.9842440000000000556e-08,0.0073886500000000001825,1.9842440000000000556e-08,0.012391759999999999929,0.013613109999999999745,3.77e-08,0.00861,1.9842440000000000556e-08,0.0073886500000000001825,1.9842440000000000556e-08,0.012391759999999999929,0.013613109999999999745,0.0,0.0 %
y_quantizer,4.53e-08,0.142,2.3800800000000000738e-08,0.12432619999999999796,2.3800800000000000738e-08,0.20957440000000000182,0.22724820000000000386,4.47e-08,0.144,2.3800800000000000738e-08,0.12426559999999999766,2.3800800000000000738e-08,0.20339545191489361845,0.2233858519148936208,0.003862348085106383054,1.6996165800681294675 %
zigzag,1.25e-08,0.0503,6.4903599999999999887e-09,0.042633000000000000174,6.4903599999999999887e-09,0.073765200000000000156,0.08143219999999999998,9.96e-09,0.0556,6.4903599999999999887e-09,0.04197839999999999996,6.4903599999999999887e-09,0.040559799999999999878,0.055416999999999999917,0.026015200000000000064,31.947067621898954062 %
